aid,1,2,3,4,5
a1977_005,a1980_005,a2001_021,a1998_013,a1999_007,a1967_017
a1977_006,a1961_003,a1959_026,a1977_011,a1963_006,a1961_047
a1977_007,a1966_006,a1965_023,a1989_002,a1960_008,a1977_004
a1977_008,a1977_003,a1965_004,a1988_018,a1974_002,a1985_012
a1977_009,a1995_009,a1985_012,a1980_016,a1981_001,a1984_003
a1977_010,a1977_003,a1967_003,a1977_009,a1991_005,a1991_002
a1977_011,a1977_013,a1963_006,a1966_007,a1966_003,a2001_015
a1977_012,a1963_009,a1967_017,a1975_013,a1964_031,a1975_002
a1977_013,a1964_006,a2001_015,a1964_001,a1977_012,a1964_004
a1977_014,a1980_014,a1995_011,a1980_005,a1995_015,a1983_005
a1977_071,a1980_016,a1981_001,a1985_024,a1984_004,a2003_017
a1979_001,a1994_009,a1990_003,a1980_004,a1984_011,a1992_005
a1980_001,a1999_043,a2001_031,a1996_015,a1982_002,a1966_005
a1980_002,a1980_007,a1980_003,a1996_001,a1991_001,a1992_002
a1980_003,a1980_002,a1996_001,a1991_001,a1981_004,a1980_007
a1980_004,a1985_021,a2000_005,a1964_015,a1981_020,a1996_010
a1980_005,a1995_015,a1967_017,a1998_009,a1995_011,a1998_013
a1980_006,a1997_015,a2001_018,a1999_036,a1997_005,a1996_012
a1980_007,a1980_002,a1980_003,a1991_001,a1966_005,a1989_020
a1980_008,a1966_002,a1980_009,a2001_019,a1981_012,a1967_008
a1980_009,a1980_008,a2001_019,a1988_017,a1989_011,a1966_002
a1980_010,a1991_006,a1999_031,a1996_012,a1997_017,a1997_016
a1980_011,a2001_032,a2001_030,a1999_043,a1981_009,a1990_008
a1980_012,a1981_012,a1998_016,a1991_001,a1992_001,a2000_001
a1980_013,a1990_003,a1980_015,a1967_001,a1967_021,a1964_013
a1980_014,a1983_005,a1984_005,a1980_005,a1995_011,a1995_015
a1980_015,a1990_003,a1964_013,a1967_001,a1980_013,a1980_004
a1980_016,a1985_024,a1981_001,a2002_006,a2003_017,a1993_003
a1980_017,a1990_007,a1998_001,a1996_003,a1958_006,a1995_017
a1980_018,a1999_038,a2001_024,a2001_030,a1980_011,a1981_007
a1980_019,a1985_019,a1957_017,a1998_014,a1990_006,a1988_001
a1980_021,a1966_005,a1981_016,a2001_031,a1999_043,a1980_001
a1981_001,a1967_002,a1980_016,a1985_024,a2003_017,a2002_006
a1981_002,a1966_002,a1981_012,a1981_022,a1967_008,a2001_019
